Date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WMT
2022-10-10,140.4199981689453,232.14999389648438,137.50999450683594,131.89999389648438,178.6699981689453,145.63999938964844,39.88999938964844,157.13999938964844,95.16000366210938,44.880001068115234,300.5400085449219,282.4599914550781,171.88999938964844,117.75,25.200000762939453,160.41000366210938,104.98999786376953,54.38999938964844,234.9499969482422,108.45999908447266,90.4800033569336,229.25,86.69000244140625,123.76000213623047,157.47999572753906,498.8599853515625,182.17999267578125,36.619998931884766,129.32000732421875
2022-10-11,138.97999572753906,245.44000244140625,137.35000610351562,131.57000732421875,179.75,142.57000732421875,39.58000183105469,157.1699981689453,93.0999984741211,43.95000076293945,294.2099914550781,282.8900146484375,173.6199951171875,117.80000305175781,25.040000915527344,162.72999572753906,101.95999908447266,54.47999954223633,237.0500030517578,108.83999633789062,91.05000305175781,225.41000366210938,87.98999786376953,124.2300033569336,159.4600067138672,499.80999755859375,179.13999938964844,35.939998626708984,132.6699981689453
2022-10-12,138.33999633789062,246.44000244140625,136.74000549316406,130.4199981689453,179.5,142.2899932861328,39.27000045776367,157.63999938964844,93.41000366210938,43.810001373291016,295.30999755859375,280.5199890136719,172.7899932861328,117.56999969482422,25.329999923706055,162.69000244140625,103.61000061035156,55.13999938964844,237.05999755859375,108.94999694824219,90.41999816894531,225.75,88.51000213623047,124.43000030517578,159.16000366210938,499.9599914550781,178.24000549316406,35.68000030517578,131.1699981689453
2022-10-13,142.99000549316406,251.66000366210938,141.5500030517578,132.39999389648438,183.13999938964844,145.44000244140625,40.61000061035156,165.27999877929688,96.63999938964844,45.91999816894531,307.07000732421875,282.8299865722656,177.5500030517578,121.79000091552734,26.420000076293945,165.14999389648438,109.37000274658203,55.869998931884766,246.75,114.26000213623047,92.48999786376953,234.24000549316406,89.55999755859375,126.30999755859375,165.50999450683594,509.9100036621094,184.66000366210938,36.400001525878906,132.27999877929688
2022-10-14,138.3800048828125,251.33999633789062,136.80999755859375,133.14999389648438,178.19000244140625,142.22000122070312,40.20000076293945,160.13999938964844,94.44999694824219,45.119998931884766,299.989990234375,276.42999267578125,174.16000366210938,120.04000091552734,25.90999984741211,164.4600067138672,111.19000244140625,54.97999954223633,243.16000366210938,113.62999725341797,92.18000030517578,228.55999755859375,87.55000305175781,125.08000183105469,163.3000030517578,513.1300048828125,182.6199951171875,36.380001068115234,130.42999267578125
2022-10-17,142.41000366210938,252.92999267578125,141.5399932861328,136.08999633789062,180.8000030517578,147.17999267578125,41.29999923706055,161.30999755859375,97.33000183105469,45.2599983215332,306.7099914550781,281.260009765625,177.0399932861328,121.5199966430664,26.420000076293945,166.58999633789062,115.86000061035156,55.689998626708984,246.47999572753906,113.86000061035156,94.12000274658203,237.52999877929688,89.97000122070312,127.33999633789062,164.8000030517578,521.8800048828125,185.25,37.18000030517578,131.3699951171875
2022-10-18,143.75,252.1199951171875,145.99000549316406,137.33999633789062,183.5500030517578,153.52999877929688,41.790000915527344,162.72000122070312,98.4800033569336,46.380001068115234,313.8500061035156,285.05999755859375,179.8800048828125,122.94000244140625,25.8700008392334,166.00999450683594,118.83999633789062,56.439998626708984,249.19000244140625,115.94999694824219,94.61000061035156,238.5,89.68000030517578,128.3699951171875,166.77000427246094,522.2100219726562,187.1699981689453,37.06999969482422,134.13999938964844
2022-10-19,143.86000061035156,248.19000244140625,143.97000122070312,138.38999938964844,184.41000366210938,153.6699981689453,41.880001068115234,168.0,98.98999786376953,45.130001068115234,311.760009765625,275.489990234375,179.27999877929688,122.51000213623047,26.0,164.69000244140625,116.51000213623047,55.959999084472656,250.75,114.19999694824219,93.26000213623047,236.47999572753906,88.56999969482422,129.55999755859375,174.1699981689453,520.3200073242188,186.41000366210938,36.56999969482422,133.75999450683594
2022-10-20,143.38999938964844,247.4499969482422,142.4199981689453,139.1300048828125,180.5399932861328,157.5,41.709999084472656,168.9600067138672,98.58999633789062,44.93000030517578,310.80999755859375,269.4599914550781,177.63999938964844,128.3000030517578,26.079999923706055,165.11000061035156,116.12999725341797,55.08000183105469,249.77000427246094,113.11000061035156,92.94000244140625,236.14999389648438,86.83000183105469,126.98999786376953,170.8699951171875,520.8800048828125,187.22000122070312,37.0,134.08999633789062
2022-10-21,147.27000427246094,251.94000244140625,140.0399932861328,141.32000732421875,190.22000122070312,160.1699981689453,42.79999923706055,173.19000244140625,102.04000091552734,46.869998931884766,325.1000061035156,275.5299987792969,182.80999755859375,129.89999389648438,26.969999313354492,168.7100067138672,122.2300033569336,55.959999084472656,254.5500030517578,116.80999755859375,95.66999816894531,242.1199951171875,88.5,128.5800018310547,176.22999572753906,533.72998046875,190.3699951171875,35.349998474121094,136.8000030517578
2022-10-24,149.4499969482422,261.32000732421875,141.6300048828125,142.0500030517578,191.3000030517578,160.64999389648438,43.540000915527344,173.1300048828125,101.72000122070312,47.040000915527344,328.70001220703125,283.260009765625,186.89999389648438,132.69000244140625,27.18000030517578,170.97999572753906,122.37999725341797,57.56999969482422,255.32000732421875,118.37999725341797,97.37000274658203,247.25,88.01000213623047,129.3699951171875,179.7899932861328,541.5999755859375,190.7100067138672,35.970001220703125,139.41000366210938
2022-10-25,152.33999633789062,259.989990234375,147.02000427246094,146.64999389648438,194.83999633789062,165.27000427246094,44.36000061035156,174.92999267578125,104.36000061035156,47.849998474121094,332.3999938964844,290.260009765625,189.64999389648438,132.92999267578125,27.40999984741211,170.7100067138672,122.69999694824219,58.95000076293945,255.72999572753906,118.5,97.70999908447266,250.66000366210938,91.72000122070312,130.86000061035156,176.08999633789062,540.219970703125,194.3800048828125,36.43000030517578,140.07000732421875
2022-10-26,149.35000610351562,266.6600036621094,146.8800048828125,133.7899932861328,196.9600067138672,159.91000366210938,44.380001068115234,177.08999633789062,104.62999725341797,47.9900016784668,335.69000244140625,290.1499938964844,190.27000427246094,135.00999450683594,27.209999084472656,172.2100067138672,124.11000061035156,59.38999938964844,256.6099853515625,122.69999694824219,98.41000366210938,231.32000732421875,92.38999938964844,131.77999877929688,176.39999389648438,543.1699829101562,203.3300018310547,36.43000030517578,141.13999938964844
2022-10-27,144.8000030517578,267.2300109863281,146.97000122070312,139.75999450683594,212.13999938964844,159.75,44.41999816894531,177.89999389648438,104.44000244140625,47.619998931884766,337.17999267578125,291.05999755859375,196.49000549316406,134.77000427246094,26.270000457763672,172.30999755859375,124.5999984741211,59.529998779296875,265.1099853515625,122.80000305175781,99.73999786376953,226.75,90.54000091552734,131.8800048828125,177.60000610351562,541.7999877929688,204.2899932861328,36.18000030517578,140.72999572753906
2022-10-28,155.74000549316406,273.80999755859375,150.44000244140625,143.83999633789062,219.33999633789062,163.02000427246094,45.63999938964844,179.97999572753906,105.94999694824219,47.47999954223633,341.82000732421875,298.6499938964844,204.92999267578125,138.50999450683594,29.06999969482422,174.8699951171875,126.08000183105469,60.7599983215332,274.5199890136719,126.5999984741211,100.7699966430664,235.8699951171875,93.83000183105469,135.22000122070312,181.9600067138672,551.239990234375,209.33999633789062,37.66999816894531,142.50999450683594
2022-10-31,153.33999633789062,270.3500061035156,148.4499969482422,142.50999450683594,216.4600067138672,162.58999633789062,45.43000030517578,180.89999389648438,106.54000091552734,46.7400016784668,344.510009765625,296.1300048828125,204.02000427246094,138.2899932861328,28.43000030517578,173.97000122070312,125.87999725341797,59.849998474121094,272.6600036621094,125.79000091552734,101.19999694824219,232.1300048828125,92.68000030517578,134.6699981689453,184.4600067138672,555.1500244140625,207.16000366210938,37.369998931884766,142.3300018310547
2022-11-01,150.64999389648438,272.05999755859375,147.0800018310547,143.3800048828125,218.5,159.82000732421875,45.459999084472656,182.22000122070312,106.0,46.93000030517578,348.5799865722656,296.05999755859375,203.10000610351562,138.1999969482422,28.299999237060547,173.08999633789062,128.14999389648438,59.63999938964844,272.95001220703125,125.30000305175781,99.76000213623047,228.1699981689453,93.7699966430664,134.8800048828125,182.77999877929688,547.3099975585938,206.92999267578125,37.369998931884766,141.69000244140625
2022-11-02,145.02999877929688,269.010009765625,143.5,147.41000366210938,214.5399932861328,150.00999450683594,44.56999969482422,178.5,101.81999969482422,46.93000030517578,349.7900085449219,288.7300109863281,200.47000122070312,136.8300018310547,27.420000076293945,170.42999267578125,126.97000122070312,58.810001373291016,270.3699951171875,122.86000061035156,99.4000015258789,220.10000610351562,90.30000305175781,132.94000244140625,182.30999755859375,543.4299926757812,200.9499969482422,37.709999084472656,140.75
2022-11-03,138.8800048828125,265.8800048828125,139.30999755859375,156.75,219.25999450683594,146.3300018310547,43.849998474121094,181.1300048828125,99.25,46.4900016784668,348.8699951171875,281.5,204.38999938964844,134.47000122070312,27.389999389648438,170.72000122070312,127.19999694824219,58.779998779296875,272.95001220703125,122.8499984741211,98.75,214.25,90.4000015258789,132.02999877929688,181.82000732421875,543.6099853515625,194.75,37.150001525878906,140.72000122070312
2022-11-04,138.3800048828125,269.0400085449219,144.72000122070312,160.00999450683594,227.85000610351562,139.77000427246094,44.52000045776367,183.4199981689453,99.58000183105469,49.029998779296875,357.9100036621094,284.0299987792969,207.85000610351562,136.9600067138672,28.200000762939453,171.47999572753906,130.67999267578125,59.2599983215332,274.6199951171875,124.83999633789062,99.19999694824219,221.38999938964844,95.79000091552734,134.44000244140625,183.05999755859375,538.1699829101562,196.97999572753906,37.2400016784668,140.97000122070312
2022-11-07,138.9199981689453,277.0199890136719,146.97999572753906,164.91000366210938,228.61000061035156,144.58999633789062,44.54999923706055,185.61000061035156,100.43000030517578,49.5,362.55999755859375,290.2699890136719,209.77000427246094,138.33999633789062,28.40999984741211,172.97999572753906,131.3699951171875,59.4900016784668,276.4100036621094,124.68000030517578,100.06999969482422,227.8699951171875,93.44000244140625,136.5,184.1300048828125,545.02001953125,200.10000610351562,37.189998626708984,142.4499969482422
